port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
85,out,rejected2_record_count,clean_name_and_date_workflow.clean_event_date.log_date_is_empty->rejected2_record_count,249,42
86,out,date_val_log,clean_name_and_date_workflow.clean_event_date.log_date_is_empty->date_val_log,251,33
87,in,original2_eventDate,clean_name_and_date_workflow.clean_event_date.check_ISO_date_compliant<-original2_eventDate,258,40
88,out,original2_eventDate,clean_name_and_date_workflow.clean_event_date.check_ISO_date_compliant->original2_eventDate,260,43
89,out,original2_eventDate,clean_name_and_date_workflow.clean_event_date.check_ISO_date_compliant->original2_eventDate,262,44
90,out,date_val_log,clean_name_and_date_workflow.clean_event_date.check_ISO_date_compliant->date_val_log,264,33
91,in,original2_eventDate,clean_name_and_date_workflow.clean_event_date.update_event_date<-original2_eventDate,271,44
92,out,updated2_eventDate,clean_name_and_date_workflow.clean_event_date.update_event_date->updated2_eventDate,273,45
93,out,date_val_log,clean_name_and_date_workflow.clean_event_date.update_event_date->date_val_log,275,33
94,param,RecordID,clean_name_and_date_workflow.clean_event_date.log_accepted_record<-RecordID,282,37
95,in,updated2_eventDate,clean_name_and_date_workflow.clean_event_date.log_accepted_record<-updated2_eventDate,283,45
96,in,original2_eventDate,clean_name_and_date_workflow.clean_event_date.log_accepted_record<-original2_eventDate,285,43
97,out,final_result,clean_name_and_date_workflow.clean_event_date.log_accepted_record->final_result,287,41
98,out,accepted2_record_count,clean_name_and_date_workflow.clean_event_date.log_accepted_record->accepted2_record_count,289,46
99,out,date_val_log,clean_name_and_date_workflow.clean_event_date.log_accepted_record->date_val_log,291,33
100,in,original2_others,clean_name_and_date_workflow.clean_event_date.write_data_into_file<-original2_others,298,38
101,in,updated2_eventDate,clean_name_and_date_workflow.clean_event_date.write_data_into_file<-updated2_eventDate,300,45
102,in,original2_eventDate,clean_name_and_date_workflow.clean_event_date.write_data_into_file<-original2_eventDate,302,36
103,out,output2_data,clean_name_and_date_workflow.clean_event_date.write_data_into_file->output2_data,304,47
104,in,accepted2_record_count,clean_name_and_date_workflow.clean_event_date.log_summary<-accepted2_record_count,310,46
105,in,rejected2_record_count,clean_name_and_date_workflow.clean_event_date.log_summary<-rejected2_record_count,312,42
106,out,date_val_log,clean_name_and_date_workflow.clean_event_date.log_summary->date_val_log,314,33
107,param,lst,exactmatch<-lst,323,48
108,param,label_str,exactmatch<-label_str,324,49
111,param,str1,fuzzymatch<-str1,329,52
112,param,str2,fuzzymatch<-str2,330,53
114,param,lst,fieldmatch<-lst,334,48
115,param,str2,fieldmatch<-str2,335,53
117,param,message,timestamp<-message,340,56
